,회사명,하위업종,상위업종
362,포인트모바일,컴퓨터 및 주변장치 제조업,제조업
363,앱코,컴퓨터 및 주변장치 제조업,제조업
364,엔에프씨,기타 화학제품 제조업,제조업
365,제일전기공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
366,하나기술,특수 목적용 기계 제조업,제조업
367,티앤엘,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
368,고바이오랩,자연과학 및 공학 연구개발업,제조업
369,네패스아크,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
370,소룩스,전구 및 조명장치 제조업,제조업
371,위드텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
372,센코,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
373,바이브컴퍼니,소프트웨어 개발 및 공급업,정보기술 및 통신업
374,미코바이오메드,의료용 기기 제조업,제조업
375,피플바이오,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
376,넥스틴,특수 목적용 기계 제조업,제조업
377,케이엔솔,일반 목적용 기계 제조업,제조업
378,비나텍,일차전지 및 축전지 제조업,제조업
379,씨엔알리서치,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
380,박셀바이오,자연과학 및 공학 연구개발업,제조업
381,비비씨,그외 기타 제품 제조업,제조업
382,코스텍시스,반도체 제조업,제조업
383,핌스,전자부품 제조업,제조업
384,압타머사이언스,자연과학 및 공학 연구개발업,제조업
385,이오플로우,의료용 기기 제조업,제조업
386,카카오게임즈,소프트웨어 개발 및 공급업,정보기술 및 통신업
387,피엔케이피부임상연구센타,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
388,아이디피,컴퓨터 및 주변장치 제조업,제조업
389,셀레믹스,기초 의약물질 및 생물학적 제제 제조업,제조업
390,고스트스튜디오,소프트웨어 개발 및 공급업,정보기술 및 통신업
391,브랜드엑스코퍼레이션,기타 정보 서비스업,서비스업
392,영림원소프트랩,소프트웨어 개발 및 공급업,정보기술 및 통신업
393,한국파마,의약품 제조업,식품 및 음료제조업
394,솔브레인,기타 화학제품 제조업,제조업
395,이루다,의료용 기기 제조업,제조업
396,와이팜,전자부품 제조업,제조업
397,에코앤드림,기타 화학제품 제조업,제조업
398,엠투아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
399,더네이쳐홀딩스,의복 액세서리 제조업,제조업
